tiêu hóa
hệ tạo máu
hệ tim mạch
nội tiết tố
Chất kháng khuẩn
Thuốc chống ký sinh trùng
Thuốc chống ung thư
hệ cơ xương
hệ thần kinh trung ương
hệ thần kinh thực vật
hệ hô hấp
Các vitamin và khoáng chất
thuốc kháng histamin
Thuốc giải độc
